title,projectname,builder,price,per_sqft,area,status,place
4  BHK  Villa,NR Infra Ultimus,NR Infra Projects,12900000,"4,999 / sq ft",2594,Ready to move,Rameswaram Banda
2  BHK  Apartment,Vasavi Metropolis,Vasavi Group,6070000,"5,705 / sq ft",1065,Under Construction,Uppal Kalan
2  BHK  Apartment,Aavasa Constructions Emerald,Aavasa Constructions,8515000,"6,500 / sq ft",1310,Under Construction,Saroor Nagar
3  BHK  Apartment,Primark De Stature,Primark Developers,9797000,"4,699 / sq ft",2085,Under Construction,Kompally
2  BHK  Apartment,Srija Twin Towers,Srija Infra Developers Hyderabad,5001000,"4,800 / sq ft",1042,Under Construction,Dammaiguda
3  BHK  Apartment,Cybercity Oriana,Cyber City Oriana,22000000,"9,909 / sq ft",2220,Under Construction,Kukatpally
2  BHK  Apartment,Syamantaka Emerald Heights,Symantaka Infra,6183000,"5,400 / sq ft",1145,Under Construction,Bachupally
3  BHK  Apartment,Om Sree Brilliance,Om Sree Builders And Developers,13400000,"6,100 / sq ft",2200,Under Construction,Sainikpuri
3  BHK  Apartment,Primark De Stature,Primark Projects Pvt Ltd,9797000,"4,699 / sq ft",2085,Under Construction,Kompally
3  BHK  Apartment,Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,10400000,"5,800 / sq ft",1800,Under Construction,Saidabad
3  BHK  Apartment,Kalpataru Avante,Kalpataru Group,21900000,"9,546 / sq ft",2294,Under Construction,Sanath Nagar
3  BHK  Apartment,Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,11500000,"6,300 / sq ft",1835,Under Construction,Nizampet
4  BHK  Apartment,Bhavya BHAVYAS THE EUGEN,Bhavya Constructions Pvt Ltd,48600000,"12,000 / sq ft",4052,Under Construction,Madhapur
2  BHK  Apartment,Vaishnavi Houdini,Vaishnavi Infracon India Pvt Ltd,8265000,"5,600 / sq ft",1476,Under Construction,Bandlaguda Jagir
4  BHK  Apartment,Mahaveer Crystal Garden,Mahaveer Group,35200000,"7,500 / sq ft",4706,Under Construction,Attapur
3  BHK  Apartment,Engineers Sri Tirumala Millennium Phase III,EAPL Group,10900000,"4,999 / sq ft",2187,Under Construction,Mallapur
2  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,6941000,"5,299 / sq ft",1310,Under Construction,Kompally
5  BHK  Villa,Nest Bliss In The Woods,Nest Makers,70700000,"10,114 / sq ft",7000,Under Construction,Harshaguda
3  BHK  Apartment,Jain Carlton Creek,Jain Housing Constructions Ltd,10600000,"7,734 / sq ft",1380,Ready to move,Manikonda
4  BHK  Villa,Nest Bliss In The Woods,Nest Makers,49500000,"9,429 / sq ft",5250,Under Construction,Harshaguda
3  BHK  Apartment,Aavasa Constructions Emerald,Aavasa Constructions,15200000,"6,500 / sq ft",2345,Under Construction,Saroor Nagar
5  BHK  Villa,Nest Bliss In The Woods,Nest Makers,58200000,"9,700 / sq ft",6000,Under Construction,Harshaguda
3  BHK  Apartment,Maruthi Elite,Maruthi Developers,9075000,"5,500 / sq ft",1650,Ready to move,Nizampet
2  BHK  Apartment,IRA Aspiration,Ira Reality,6472000,"4,998 / sq ft",1295,Under Construction,Kollur
Residential Plot,Haripriya Ohana,Haripriya Developers,54000000,"7,222 / sq ft",7479,New,Kompally
4  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,16800000,"5,800 / sq ft",2910,Under Construction,Jeedimetla
3  BHK  Apartment,GHR Callisto,GHR Infra,9573000,"4,999 / sq ft",1915,Under Construction,Kollur
3  BHK  Apartment,Primark De Stature,Primark Developers,7118000,"4,699 / sq ft",1515,Under Construction,Kompally
2  BHK  Apartment,GHR Callisto,GHR Infra,6473000,"4,999 / sq ft",1295,Under Construction,Kollur
4  BHK  Villa,Radhey RADHEY RAAGA,Radhey Constructions India Pvt Ltd,36800000,"9,800 / sq ft",3756,Under Construction,Patighanpur
3  BHK  Apartment,Merlion Galaxia,Merlion Builders,9770000,"5,599 / sq ft",1745,Under Construction,Nizampet
Residential Plot,Haripriya Dukes County Phase II,Haripriya Developers,8799000,"4,444 / sq ft",1980,New,Sheriguda
Residential Plot,Haripriya Ohana,Haripriya Developers,22700000,"7,222 / sq ft",3150,New,Kompally
3  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,11399999,"5,800 / sq ft",1980,Under Construction,Jeedimetla
4  BHK  Apartment,Hallmark Treasor,Hallmark Builders,40599999,"7,999 / sq ft",5080,Under Construction,Gandipet
3  BHK  Apartment,GHR Callisto,GHR Infra,8123000,"4,999 / sq ft",1625,Under Construction,Kollur
3  BHK  Apartment,GHR Callisto,GHR Infra,7148000,"4,999 / sq ft",1430,Under Construction,Kollur
3  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,9988000,"6,200 / sq ft",1611,Ready to move,Manikonda
2  BHK  Apartment,Srija Twin Towers,Srija Infra Developers Hyderabad,5467000,"4,800 / sq ft",1139,Under Construction,Dammaiguda
4  BHK  Villa,RV Somwrita,R V Nirmaan Private Limited,36200000,"12,400 / sq ft",2925,Ready to move,Kismatpur
4  BHK  Villa,Krushi Madhava Nest,Krushi Infra Projects India PvtLtd,16900000,"7,415 / sq ft",2280,Ready to move,Patancheru
2  BHK  Apartment,Anuhar Towers,Anuhar Homes Pvt Ltd,9201000,"6,350 / sq ft",1449,Under Construction,Manikonda
3  BHK  Apartment,Riddhi Golden Nest,Riddhi Group,10400000,"6,300 / sq ft",1665,Ready to move,Puppalaguda
3  BHK  Apartment,Candeur Crescent,Candeur Developers And Builders,20700000,"8,063 / sq ft",2567,Under Construction,Serilingampally
Residential Plot,Haripriya Dukes County Phase II,Haripriya Developers,18600000,"4,444 / sq ft",4203,New,Sheriguda
Residential Plot,Haripriya Ohana,Haripriya Developers,15500000,"7,222 / sq ft",2160,New,Kompally
3  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,11700000,"5,800 / sq ft",2030,Under Construction,Jeedimetla
3  BHK  Apartment,Hallmark Treasor,Hallmark Builders,30600000,"7,999 / sq ft",3830,Under Construction,Gandipet
